favorite_Score,favorite_OffensiveYards,favorite_OffensiveYardsPerPlay,favorite_RushingYards,favorite_RushingYardsPerAttempt,favorite_PassingYards,favorite_PassingYardsPerAttempt,favorite_PassingInterceptionPercentage,favorite_TimesSackedPercentage,favorite_OpponentScore,favorite_OpponentOffensiveYards,favorite_OpponentOffensiveYardsPerPlay,favorite_OpponentRushingYards,favorite_OpponentRushingYardsPerAttempt,favorite_OpponentPassingYards,favorite_OpponentPassingYardsPerAttempt,favorite_OpponentPassingInterceptionPercentage,favorite_OpponentTimesSackedPercentage,favorite_PointDifferential,favorite_TurnoverDifferential,favorite_PenaltyYardDifferential,favorite_TimeOfPossession,underdog_Score,underdog_OffensiveYards,underdog_OffensiveYardsPerPlay,underdog_RushingYards,underdog_RushingYardsPerAttempt,underdog_PassingYards,underdog_PassingYardsPerAttempt,underdog_PassingInterceptionPercentage,underdog_TimesSackedPercentage,underdog_OpponentScore,underdog_OpponentOffensiveYards,underdog_OpponentOffensiveYardsPerPlay,underdog_OpponentRushingYards,underdog_OpponentRushingYardsPerAttempt,underdog_OpponentPassingYards,underdog_OpponentPassingYardsPerAttempt,underdog_OpponentPassingInterceptionPercentage,underdog_OpponentTimesSackedPercentage,underdog_PointDifferential,underdog_TurnoverDifferential,underdog_PenaltyYardDifferential,underdog_TimeOfPossession,
1,2,7,10,11,3,6,8,7,7,19,21,15,24,24,18,2,16,3,3,24,831,31,30,26,24,28,31,29,15,23,20,13,23,13,17,8,11,26,28,24,6,25
21,24,26,28,27,16,29,5,12,22,21,19,31,31,12,16,19,2,22,17,3,1915,17,21,3,11,27,23,23,27,6,12,13,2,6,23,13,9,12,12,20,9,3
13,10,1,7,15,12,2,16,15,14,4,7,9,7,5,13,28,3,13,23,31,1127,26,21,30,30,18,18,18,20,29,24,21,26,13,19,22,16,32,27,20,5,26
2,1,3,27,15,1,11,6,1,10,14,7,3,13,22,4,11,11,4,7,32,919,29,26,17,27,31,20,21,21,4,8,4,4,1,14,13,7,7,15,10,20,22
14,12,16,15,15,11,13,2,5,25,31,26,27,29,26,24,14,7,19,6,30,2326,28,26,11,15,32,25,31,32,20,5,7,24,19,3,18,24,1,25,28,23,17
9,6,1,24,23,5,3,23,4,15,16,7,6,3,20,11,8,4,7,13,15,2417,23,11,12,4,25,14,3,29,10,30,18,18,2,31,24,24,31,14,9,8,32
12,14,8,1,3,22,12,9,13,8,7,2,7,3,11,6,19,29,11,15,19,1822,20,21,13,20,20,20,23,21,28,27,27,8,9,30,28,27,19,26,26,10,12
13,10,1,7,15,12,2,16,15,14,4,7,9,7,5,13,28,3,13,23,31,1115,17,21,3,11,27,23,23,27,6,12,13,2,6,23,13,9,12,12,20,9,3
11,8,11,9,20,8,4,9,14,5,10,13,11,19,8,11,16,9,7,4,22,67,15,11,2,1,23,18,4,10,12,17,21,12,24,18,18,4,24,6,1,2,5
10,12,8,19,20,9,6,1,7,8,11,13,13,31,9,2,6,16,10,1,12,120,18,17,4,1,26,20,18,29,17,6,4,16,9,6,4,14,10,20,18,27,13
27,26,21,30,30,18,18,18,20,29,24,21,26,13,19,22,16,32,27,20,5,2628,22,21,18,8,21,27,16,15,30,28,27,28,19,25,30,24,27,29,25,16,28
2,1,3,27,15,1,11,6,1,10,14,7,3,13,22,4,11,11,4,7,32,929,30,31,21,24,29,31,31,26,19,2,2,20,7,2,6,23,4,24,28,11,20
5,9,3,22,24,7,1,21,29,17,18,19,5,9,27,18,22,12,9,19,1,416,7,18,5,6,13,15,23,28,20,25,32,1,3,32,32,28,24,18,27,17,2
1,2,7,10,11,3,6,8,7,7,19,21,15,24,24,18,2,16,3,3,24,822,20,21,13,20,20,20,23,21,28,27,27,8,9,30,28,27,19,26,26,10,12
6,4,3,20,11,4,6,12,5,26,23,21,30,27,13,23,19,19,16,15,26,2730,32,31,32,31,30,27,27,25,26,29,27,32,29,21,28,5,21,30,11,29,29
4,3,3,16,8,2,9,11,2,13,26,27,17,27,28,24,10,27,5,11,18,921,24,26,28,27,16,29,5,12,22,21,19,31,31,12,16,19,2,22,17,3,19
23,19,18,14,15,19,15,6,21,3,9,13,14,13,7,16,11,15,17,13,4,1618,11,8,29,29,6,4,13,15,24,13,7,21,9,10,8,32,23,23,28,28,14
9,6,1,24,23,5,3,23,4,15,16,7,6,3,20,11,8,4,7,13,15,2414,12,16,15,15,11,13,2,5,25,31,26,27,29,26,24,14,7,19,6,30,23
8,16,11,8,11,14,9,13,7,1,3,4,22,24,4,2,1,12,2,5,13,73,5,11,6,5,10,15,18,3,2,1,1,19,13,1,1,3,18,1,7,25,15
25,21,20,24,8,17,24,30,21,32,32,27,29,19,29,30,30,21,31,31,21,3032,27,21,23,6,24,30,28,11,31,22,25,25,13,16,27,31,29,32,32,14,31
12,14,8,1,3,22,12,9,13,8,7,2,7,3,11,6,19,29,11,15,19,1831,31,30,26,24,28,31,29,15,23,20,13,23,13,17,8,11,26,28,24,6,25
17,23,11,12,4,25,14,3,29,10,30,18,18,2,31,24,24,31,14,9,8,3226,28,26,11,15,32,25,31,32,20,5,7,24,19,3,18,24,1,25,28,23,17
24,25,29,31,31,15,25,13,19,16,15,7,10,19,14,8,16,4,21,20,7,2119,29,26,17,27,31,20,21,21,4,8,4,4,1,14,13,7,7,15,10,20,22
9,6,1,24,23,5,3,23,4,15,16,7,6,3,20,11,8,4,7,13,15,2416,7,18,5,6,13,15,23,28,20,25,32,1,3,32,32,28,24,18,27,17,2
3,5,11,6,5,10,15,18,3,2,1,1,19,13,1,1,3,18,1,7,25,1527,26,21,30,30,18,18,18,20,29,24,21,26,13,19,22,16,32,27,20,5,26
26,28,26,11,15,32,25,31,32,20,5,7,24,19,3,18,24,1,25,28,23,1731,31,30,26,24,28,31,29,15,23,20,13,23,13,17,8,11,26,28,24,6,25
4,3,3,16,8,2,9,11,2,13,26,27,17,27,28,24,10,27,5,11,18,95,9,3,22,24,7,1,21,29,17,18,19,5,9,27,18,22,12,9,19,1,4
1,2,7,10,11,3,6,8,7,7,19,21,15,24,24,18,2,16,3,3,24,811,8,11,9,20,8,4,9,14,5,10,13,11,19,8,11,16,9,7,4,22,6
10,12,8,19,20,9,6,1,7,8,11,13,13,31,9,2,6,16,10,1,12,114,12,16,15,15,11,13,2,5,25,31,26,27,29,26,24,14,7,19,6,30,23
7,15,11,2,1,23,18,4,10,12,17,21,12,24,18,18,4,24,6,1,2,518,11,8,29,29,6,4,13,15,24,13,7,21,9,10,8,32,23,23,28,28,14
6,4,3,20,11,4,6,12,5,26,23,21,30,27,13,23,19,19,16,15,26,2723,19,18,14,15,19,15,6,21,3,9,13,14,13,7,16,11,15,17,13,4,16
8,16,11,8,11,14,9,13,7,1,3,4,22,24,4,2,1,12,2,5,13,732,27,21,23,6,24,30,28,11,31,22,25,25,13,16,27,31,29,32,32,14,31
19,29,26,17,27,31,20,21,21,4,8,4,4,1,14,13,7,7,15,10,20,2229,30,31,21,24,29,31,31,26,19,2,2,20,7,2,6,23,4,24,28,11,20
2,1,3,27,15,1,11,6,1,10,14,7,3,13,22,4,11,11,4,7,32,925,21,20,24,8,17,24,30,21,32,32,27,29,19,29,30,30,21,31,31,21,30
13,10,1,7,15,12,2,16,15,14,4,7,9,7,5,13,28,3,13,23,31,1130,32,31,32,31,30,27,27,25,26,29,27,32,29,21,28,5,21,30,11,29,29
17,23,11,12,4,25,14,3,29,10,30,18,18,2,31,24,24,31,14,9,8,3228,22,21,18,8,21,27,16,15,30,28,27,28,19,25,30,24,27,29,25,16,28
15,17,21,3,11,27,23,23,27,6,12,13,2,6,23,13,9,12,12,20,9,324,25,29,31,31,15,25,13,19,16,15,7,10,19,14,8,16,4,21,20,7,21
12,14,8,1,3,22,12,9,13,8,7,2,7,3,11,6,19,29,11,15,19,1822,20,21,13,20,20,20,23,21,28,27,27,8,9,30,28,27,19,26,26,10,12
21,24,26,28,27,16,29,5,12,22,21,19,31,31,12,16,19,2,22,17,3,1920,18,17,4,1,26,20,18,29,17,6,4,16,9,6,4,14,10,20,18,27,13
